Wall time,Step,Value
1551963743.8743246,0,0.0
1551963744.5724359,1,0.0
1551963745.0355287,2,0.0
1551963745.7612958,3,0.0
1551963746.2251656,4,1.0
1551963748.0590248,5,1.0
1551963749.6276975,6,1.0
1551963751.0162442,7,2.0
1551963751.885647,8,2.0
1551963752.4588232,9,2.0
1551963752.759451,10,2.0
1551963753.541094,11,2.0
1551963754.1375148,12,2.0
1551963755.181956,13,2.0
1551963755.5768685,14,1.0
1551963756.3668015,15,1.0
1551963756.7090003,16,1.0
1551963757.145319,17,1.0
1551963757.7824667,18,1.0
1551963758.9425004,19,1.0
1551963759.7661195,20,1.0
1551963760.051623,21,1.0
1551963760.490373,22,1.0
1551963761.2150238,23,1.0
1551963761.7632663,24,1.0
1551963762.1742265,25,1.0
1551963763.345691,26,1.0
1551963763.835555,27,1.0
1551963764.1897175,28,1.0
1551963764.6316352,29,2.0
1551963764.9018574,30,2.0
1551963765.4076414,31,2.0
1551963766.426842,32,3.0
1551963766.9412217,33,3.0
1551963767.3904288,34,3.0
1551963767.9629362,35,3.0
1551963768.5019052,36,4.0
1551963769.0248387,37,3.0
1551963769.754732,38,3.0
1551963770.5664568,39,2.0
1551963771.7795467,40,3.0
1551963772.3445337,41,3.0
1551963772.8888948,42,2.0
1551963773.4585958,43,2.0
1551963774.0532568,44,2.0
1551963775.0498023,45,3.0
1551963775.5205328,46,2.0
1551963776.1200426,47,2.0
1551963776.856848,48,3.0
1551963777.703766,49,3.0
1551963778.0842133,50,2.0
1551963778.4947422,51,2.0
1551963778.9203098,52,3.0
1551963779.3747208,53,3.0
1551963780.088083,54,3.0
1551963780.5671196,55,2.0
1551963781.023718,56,2.0
1551963781.7126093,57,3.0
1551963783.206912,58,2.0
1551963783.6126733,59,3.0
1551963783.955106,60,3.0
1551963784.7112317,61,3.0
1551963786.7522106,62,2.0
1551963787.2821846,63,2.0
1551963787.8933334,64,2.0
1551963788.7934654,65,2.0
1551963790.2063706,66,2.0
1551963790.7897184,67,1.0
1551963791.2725358,68,1.0
1551963791.90718,69,0.0
1551963792.4681392,70,0.0
1551963793.826436,71,0.0
1551963795.4689255,72,0.0
1551963796.0676148,73,0.0
1551963796.7646909,74,0.0
1551963798.9273038,75,1.0
1551963799.5007153,76,1.0
1551963800.383167,77,1.0
1551963800.6761787,78,1.0
1551963801.4985027,79,1.0
1551963802.3445902,80,1.0
1551963803.5206192,81,1.0
1551963803.9169624,82,1.0
1551963804.4559364,83,2.0
1551963804.7410092,84,2.0
1551963805.2748034,85,1.0
1551963806.6587746,86,1.0
1551963808.4817293,87,2.0
1551963808.8528826,88,2.0
1551963809.48979,89,2.0
1551963809.9916792,90,2.0
1551963811.6934257,91,2.0
1551963812.9798238,92,2.0
1551963814.9055011,93,1.0
1551963815.3301103,94,1.0
1551963815.8649485,95,1.0
1551963816.29396,96,1.0
1551963817.103037,97,0.0
1551963819.413246,98,0.0
1551963820.1970813,99,0.0
1551963821.3249888,100,0.0
1551963822.8316426,101,0.0
1551963823.2176573,102,0.0
1551963823.5166223,103,0.0
1551963824.1243243,104,0.0
1551963825.5947154,105,1.0
1551963826.424265,106,1.0
1551963827.3763826,107,1.0
1551963827.8276367,108,1.0
1551963828.6416094,109,1.0
1551963829.343807,110,1.0
1551963830.5233161,111,1.0
1551963831.6050324,112,1.0
1551963834.6100252,113,1.0
1551963835.1686666,114,2.0
1551963835.9295845,115,1.0
1551963836.8568897,116,1.0
1551963837.151554,117,1.0
1551963837.5820546,118,1.0
1551963839.266473,119,1.0
1551963840.3517385,120,1.0
1551963840.7286787,121,1.0
1551963841.4672763,122,2.0
1551963841.8552046,123,2.0
1551963842.712032,124,1.0
1551963843.8138845,125,2.0
1551963844.9600132,126,2.0
1551963845.8899548,127,2.0
1551963846.3322785,128,3.0
1551963846.7958724,129,4.0
1551963847.7680993,130,4.0
1551963849.866504,131,5.0
1551963850.9293447,132,5.0
1551963852.1620724,133,5.0
1551963852.921322,134,5.0
1551963855.129583,135,4.0
1551963855.8421655,136,4.0
1551963856.7570884,137,4.0
1551963857.560933,138,4.0
1551963858.965984,139,4.0
1551963859.468989,140,4.0
1551963860.9719062,141,4.0
1551963863.4837108,142,3.0
1551963864.2864563,143,3.0
1551963865.6771095,144,4.0
1551963867.04372,145,4.0
1551963867.6528618,146,5.0
1551963868.734697,147,6.0
1551963869.1551151,148,5.0
1551963869.6247296,149,4.0
1551963870.1352022,150,5.0
1551963871.1954658,151,5.0
1551963871.600322,152,5.0
1551963872.11103,153,5.0
1551963872.5423512,154,5.0
1551963872.8509939,155,5.0
1551963874.073443,156,4.0
1551963875.2221496,157,3.0
1551963875.8171024,158,3.0
1551963876.304557,159,3.0
1551963877.172548,160,2.0
1551963878.5304635,161,1.0
1551963879.5574887,162,2.0
1551963880.2016468,163,2.0
1551963880.9326646,164,1.0
1551963881.6470277,165,2.0
1551963882.5686,166,3.0
1551963883.3125684,167,3.0
1551963883.9625964,168,3.0
1551963884.9250374,169,4.0
1551963885.4852114,170,4.0
1551963887.262746,171,4.0
1551963887.9648147,172,3.0
1551963888.4008322,173,3.0
1551963889.7936347,174,4.0
1551963890.4634824,175,4.0
1551963891.2178433,176,3.0
1551963891.672854,177,3.0
1551963892.345862,178,3.0
1551963892.8910348,179,2.0
1551963893.3560014,180,2.0
1551963894.5573463,181,3.0
1551963894.8753557,182,3.0
1551963895.8692224,183,4.0
1551963896.4616358,184,4.0
1551963896.97134,185,3.0
1551963897.345107,186,3.0
1551963897.7599099,187,3.0
1551963898.3454545,188,3.0
1551963898.7707036,189,3.0
1551963899.309189,190,3.0
1551963899.907953,191,2.0
1551963901.9724386,192,2.0
1551963902.959438,193,1.0
1551963904.923132,194,0.0
1551963906.1503026,195,0.0
1551963906.5910666,196,0.0
