Wall time,Step,Value
1551982975.2089384,5,1.0
1551982975.362671,6,1.0
1551982976.0307212,10,2.0
1551982976.3583045,11,2.0
1551982976.7159421,13,2.0
1551982976.876409,14,1.0
1551982977.164241,15,1.0
1551982977.3432825,17,0.0
1551982977.4590242,18,1.0
1551982977.5354943,19,1.0
1551982977.853053,20,2.0
1551982978.3271165,24,3.0
1551982979.4972038,33,0.0
1551982979.894749,34,0.0
1551982980.2491767,36,0.0
1551982980.5970395,39,0.0
1551982980.6956284,40,1.0
1551982980.9699504,42,1.0
1551982981.1889896,44,2.0
1551982981.284212,45,2.0
1551982981.6120665,47,2.0
1551982981.8186517,49,2.0
1551982982.0961893,50,1.0
1551982982.9155233,53,1.0
1551982983.056538,54,0.0
1551982983.170512,55,0.0
1551982983.2468865,56,0.0
1551982983.364614,57,0.0
1551982983.7472858,60,0.0
1551982983.9807508,61,0.0
1551982984.6679943,63,0.0
1551982984.9582224,65,0.0
1551982985.1104558,66,0.0
1551982985.218447,67,0.0
1551982985.3723216,68,0.0
1551982985.7188158,71,1.0
1551982985.839926,72,1.0
1551982985.9156466,73,1.0
1551982985.988508,74,1.0
1551982986.3017437,76,1.0
1551982986.7041764,79,1.0
1551982987.3647537,84,2.0
1551982987.4433355,85,2.0
1551982987.8287756,86,3.0
1551982987.9488595,87,4.0
1551982988.1154866,88,5.0
1551982988.2215567,89,5.0
1551982988.795582,94,4.0
1551982990.1134026,102,1.0
1551982990.4555833,105,1.0
1551982990.7407978,106,2.0
1551982991.644234,113,2.0
1551982991.9670994,116,1.0
1551982992.3918045,118,1.0
1551982992.4863055,119,1.0
1551982992.7374244,120,0.0
1551982993.5080984,124,0.0
1551982993.7520764,125,0.0
1551982993.9946535,126,0.0
1551982994.3886771,129,0.0
1551982994.7736356,130,0.0
1551982995.2708428,133,1.0
1551982995.8068316,137,2.0
1551982996.217531,139,3.0
1551982996.6319757,141,3.0
1551982996.8145163,142,3.0
1551982996.922146,143,3.0
1551982997.0358856,144,3.0
1551982997.3837285,148,3.0
1551982997.6144776,150,3.0
1551982998.1127384,153,3.0
1551982998.5007918,154,3.0
1551982998.7030766,155,3.0
1551982998.970932,157,3.0
1551982999.0725965,158,4.0
1551982999.1527846,159,3.0
1551982999.5779445,162,3.0
1551982999.8237677,164,1.0
1551983000.0507033,165,1.0
1551983000.243784,167,1.0
1551983000.3394763,168,0.0
1551983000.7512462,171,1.0
1551983001.6615953,176,1.0
1551983001.9563928,177,1.0
1551983002.1381383,178,1.0
1551983002.8777635,180,0.0
1551983003.1011598,181,1.0
1551983003.7879758,183,1.0
1551983004.381561,185,1.0
1551983004.491859,186,1.0
1551983004.567161,187,1.0
1551983004.8245895,188,1.0
1551983005.3223317,190,1.0
1551983005.6084328,191,1.0
1551983006.7283168,198,1.0
1551983007.1361434,202,1.0
1551983007.6730964,206,1.0
1551983007.7874587,207,1.0
1551983007.8991814,208,1.0
1551983009.077837,212,0.0
1551983009.4869401,215,0.0
1551983010.0300589,218,0.0
1551983010.1025462,219,0.0
1551983010.9576383,222,0.0
1551983011.435321,223,0.0
1551983011.6918132,225,0.0
1551983011.7852263,226,0.0
1551983011.9105883,227,0.0
1551983012.1643705,229,0.0
1551983012.3221517,230,0.0
1551983012.5424774,232,0.0
1551983012.6803877,233,0.0
1551983013.235379,234,1.0
1551983013.5804188,237,2.0
1551983014.0149837,240,3.0
1551983014.8672605,245,2.0
1551983015.2683797,247,1.0
1551983015.6851478,249,1.0
