Wall time,Step,Value
1551982975.2090278,5,1.0
1551982975.3627586,6,1.0
1551982976.0308452,10,2.0
1551982976.3583932,11,2.0
1551982976.7160487,13,2.0
1551982976.8765233,14,2.0
1551982977.1643271,15,2.0
1551982977.3433833,17,2.0
1551982977.4591126,18,3.0
1551982977.5355806,19,3.0
1551982977.8531406,20,4.0
1551982978.3272045,24,5.0
1551982979.4973125,33,5.0
1551982979.8948371,34,5.0
1551982980.24928,36,5.0
1551982980.5971437,39,5.0
1551982980.695727,40,6.0
1551982980.9700632,42,6.0
1551982981.1890807,44,7.0
1551982981.2843182,45,7.0
1551982981.6121821,47,7.0
1551982981.8187718,49,7.0
1551982982.0962787,50,7.0
1551982982.9156218,53,7.0
1551982983.0566397,54,7.0
1551982983.1706069,55,7.0
1551982983.246981,56,7.0
1551982983.3647282,57,7.0
1551982983.747387,60,7.0
1551982983.980855,61,7.0
1551982984.6681046,63,7.0
1551982984.9583275,65,7.0
1551982985.1105516,66,7.0
1551982985.2185411,67,7.0
1551982985.3724158,68,7.0
1551982985.718911,71,8.0
1551982985.840021,72,8.0
1551982985.9157364,73,8.0
1551982985.9886231,74,8.0
1551982986.3018355,76,8.0
1551982986.7042673,79,8.0
1551982987.364855,84,10.0
1551982987.4434686,85,10.0
1551982987.828911,86,11.0
1551982987.9489515,87,12.0
1551982988.1156027,88,13.0
1551982988.2216902,89,13.0
1551982988.7957435,94,14.0
1551982990.113504,102,15.0
1551982990.4556847,105,15.0
1551982990.740885,106,16.0
1551982991.6443305,113,17.0
1551982991.9672194,116,17.0
1551982992.3919,118,17.0
1551982992.4863966,119,17.0
1551982992.7375302,120,17.0
1551982993.5082197,124,17.0
1551982993.7521822,125,17.0
1551982993.9947405,126,17.0
1551982994.3887787,129,17.0
1551982994.7737386,130,17.0
1551982995.2709336,133,18.0
1551982995.8069344,137,19.0
1551982996.2176278,139,20.0
1551982996.6320848,141,20.0
1551982996.814622,142,20.0
1551982996.9222348,143,21.0
1551982997.0359802,144,22.0
1551982997.3838198,148,22.0
1551982997.6145854,150,23.0
1551982998.1128767,153,24.0
1551982998.5008948,154,25.0
1551982998.7031798,155,25.0
1551982998.9710245,157,25.0
1551982999.072696,158,26.0
1551982999.1528766,159,26.0
1551982999.578031,162,26.0
1551982999.8238904,164,26.0
1551983000.0508103,165,26.0
1551983000.2438827,167,26.0
1551983000.3395734,168,26.0
1551983000.751384,171,27.0
1551983001.661696,176,27.0
1551983001.956509,177,27.0
1551983002.1382537,178,27.0
1551983002.8778603,180,27.0
1551983003.1012478,181,28.0
1551983003.788079,183,28.0
1551983004.38168,185,28.0
1551983004.4919937,186,28.0
1551983004.5672493,187,28.0
1551983004.8246956,188,28.0
1551983005.3224268,190,28.0
1551983005.6085408,191,29.0
1551983006.7284052,198,29.0
1551983007.1362402,202,30.0
1551983007.6732,206,30.0
1551983007.7875624,207,30.0
1551983007.899272,208,30.0
1551983009.077939,212,30.0
1551983009.4870672,215,30.0
1551983010.0301886,218,30.0
1551983010.102644,219,30.0
1551983010.9577277,222,30.0
1551983011.4354255,223,30.0
1551983011.6919155,225,30.0
1551983011.785323,226,30.0
1551983011.910678,227,30.0
1551983012.1644692,229,30.0
1551983012.3222535,230,30.0
1551983012.542581,232,30.0
1551983012.6804757,233,30.0
1551983013.2355206,234,31.0
1551983013.5805264,237,32.0
1551983014.015107,240,33.0
1551983014.86736,245,33.0
1551983015.2684824,247,33.0
1551983015.6852546,249,33.0
1551983016.0278945,250,33.0
1551983016.8204682,255,33.0
1551983017.7429404,258,33.0
1551983017.8970013,259,33.0
1551983018.1964712,260,33.0
1551983018.3609195,261,33.0
1551983019.9381635,263,33.0
1551983021.2911723,267,33.0
1551983022.2896578,269,33.0
1551983023.1805964,271,33.0
1551983024.510472,273,33.0
1551983026.1753979,278,33.0
1551983027.6687298,280,33.0
1551983029.2458887,284,33.0
1551983031.4150116,289,35.0
1551983032.503813,291,35.0
1551983033.2341342,292,36.0
1551983034.6572814,295,37.0
1551983035.6827676,297,37.0
1551983036.6105793,298,37.0
1551983037.0267897,299,37.0
1551983038.8783348,301,38.0
1551983039.1276014,302,38.0
1551983039.8989499,303,38.0
1551983042.4450877,307,39.0
1551983042.6334987,308,39.0
1551983044.0758746,310,39.0
1551983045.3945105,313,40.0
1551983047.6381733,317,40.0
1551983047.9738958,318,40.0
1551983048.3232782,319,40.0
1551983049.2921062,320,40.0
1551983049.9750254,322,40.0
1551983051.5975552,325,40.0
1551983051.7176976,326,40.0
1551983052.7963326,327,40.0
1551983054.7383602,330,40.0
1551983055.540556,331,40.0
1551983057.2849224,333,40.0
1551983059.8948388,339,41.0
1551983061.479865,341,41.0
1551983062.1891186,344,42.0
1551983062.285426,345,42.0
1551983062.8396208,347,43.0
1551983063.1413205,348,44.0
1551983064.3977716,353,45.0
1551983064.6881104,354,46.0
1551983065.135316,356,48.0
1551983065.5609148,358,50.0
1551983065.7998466,359,51.0
1551983066.0402043,360,52.0
1551983066.814078,363,55.0
1551983067.0173001,364,56.0
1551983067.7868223,367,59.0
1551983067.991221,368,60.0
1551983068.576561,370,62.0
1551983068.7884424,371,62.0
1551983069.2743537,373,64.0
1551983070.2517781,377,68.0
1551983070.3507483,378,68.0
1551983070.555318,379,69.0
1551983070.9837036,381,69.0
1551983071.2316515,382,70.0
1551983071.8430874,385,73.0
1551983071.9334335,386,73.0
1551983072.1391625,387,73.0
1551983072.243236,388,74.0
1551983072.6625166,390,76.0
1551983072.8719358,391,77.0
1551983073.0793395,392,78.0
1551983073.2808719,393,79.0
1551983075.4080808,402,88.0
1551983075.6511023,403,89.0
1551983076.0528314,405,91.0
1551983076.6855876,408,93.0
1551983078.2201293,415,98.0
1551983078.4526756,416,98.0
1551983079.3307557,420,100.0
1551983079.5306025,421,101.0
1551983079.7698994,422,102.0
1551983080.0938604,424,104.0
1551983080.471619,426,105.0
1551983081.3753467,430,108.0
1551983083.6135209,439,115.0
1551983083.8237152,440,115.0
1551983083.921692,441,115.0
1551983084.2459135,442,115.0
1551983084.6237564,444,116.0
1551983084.7204428,445,116.0
1551983085.3509095,448,117.0
1551983086.025301,451,120.0
1551983087.655952,458,125.0
1551983087.9012625,459,126.0
1551983088.2107906,460,127.0
1551983088.5018392,461,128.0
1551983088.911472,463,130.0
1551983089.1331031,464,131.0
1551983089.274119,465,132.0
1551983089.753565,467,133.0
1551983089.9615169,468,134.0
1551983090.244595,469,135.0
1551983090.6117804,471,136.0
1551983090.9923515,473,137.0
1551983091.2370903,474,138.0
1551983092.1350489,478,142.0
1551983093.8265157,485,149.0
1551983094.5279412,488,150.0
1551983094.7377737,489,151.0
1551983095.1448424,491,152.0
1551983095.5870993,493,154.0
1551983096.2343175,496,157.0
1551983098.87669,507,164.0
1551983099.350907,510,165.0
1551983099.4520783,511,165.0
1551983099.7820802,512,166.0
1551983100.3128335,514,167.0
1551983100.8082683,516,169.0
1551983101.0148363,517,170.0
1551983101.3196666,519,170.0
1551983102.44752,524,172.0
1551983102.619147,525,172.0
1551983104.1199965,531,178.0
1551983104.5863514,533,179.0
1551983104.7910864,534,180.0
1551983105.016929,535,181.0
1551983105.2371016,536,182.0
1551983105.491635,537,182.0
1551983105.697551,538,183.0
1551983105.9037867,539,184.0
1551983106.1041963,540,184.0
1551983106.3239222,541,185.0
1551983106.5363202,542,186.0
1551983106.96523,544,187.0
1551983107.7304525,547,189.0
1551983108.0117993,548,190.0
1551983108.2627912,549,191.0
1551983108.5948005,551,192.0
1551983109.3142424,555,195.0
1551983109.8023229,557,197.0
1551983110.274929,559,199.0
1551983111.0352526,563,203.0
1551983111.3603415,564,203.0
1551983111.5622156,565,204.0
1551983111.9551833,567,205.0
1551983112.5517178,569,206.0
1551983113.0469687,571,207.0
1551983113.6084077,573,208.0
1551983113.811165,574,209.0
1551983114.5404334,577,212.0
1551983115.0232737,579,213.0
1551983115.267599,580,214.0
1551983115.4723985,581,214.0
1551983115.7115598,582,215.0
1551983116.0804968,583,216.0
